"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","4524448","","","","0"
"1992","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","4086700","","","","0"
"1993","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","4559200","","","","0"
"1994","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","4329600","","","","0"
"1995","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","4654300","","","","0"
"1996","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","5238025","","","","0"
"1997","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","5021500","","","","0"
"1998","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","4632300","","","","0"
"1999","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","4409100","","","","0"
"2000","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","5101300","","","","0"
"2001","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","4700200","","","","0"
"2002","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","5070200","","","","0"
"2003","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","4989400","","","","0"
"2004","Canada","2021A000011124","Seeded area (hectares)","Barley","Hectares","149","units","0","v114995642","1.16.6","4432100","","","","0"
