"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","4216800","","","","0"
"1992","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","3792200","","","","0"
"1993","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","4159000","","","","0"
"1994","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","4093000","","","","0"
"1995","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","4363300","","","","0"
"1996","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","4887800","","","","0"
"1997","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","4702000","","","","0"
"1998","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","4272100","","","","0"
"1999","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","4069300","","","","0"
"2000","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","4468100","","","","0"
"2001","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","4149500","","","","0"
"2002","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","3341800","","","","0"
"2003","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","4397100","","","","0"
"2004","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","3840700","","","","0"
"2005","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","3634000","","","","0"
"2006","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","3222900","","","","0"
"2007","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","3963300","","","","0"
"2008","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","3503600","","","","0"
"2009","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2921600","","","","0"
"2010","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2394100","","","","0"
"2011","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2401500","","","","0"
"2012","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2764700","","","","0"
"2013","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2687400","","","","0"
"2014","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2167200","","","","0"
"2015","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2352300","","","","0"
"2016","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2265700","","","","0"
"2017","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2113500","","","","0"
"2018","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2395000","","","","0"
"2019","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2727500","","","","0"
"2020","Canada","2021A000011124","Harvested area (hectares)","Barley","Hectares","149","units","0","v114995758","1.17.6","2808700","","","","0"
