"REF_DATE","GEO","DGUID","Harvest disposition","Type of crop","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","11617300","","","","0"
"1992","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","11031500","","","","0"
"1993","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","12972100","","","","0"
"1994","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","11692000","","","","0"
"1995","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","13032500","","","","0"
"1996","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","15562000","","","","0"
"1997","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","13533900","","","","0"
"1998","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","12708700","","","","0"
"1999","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","13196000","","","","0"
"2000","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","13228600","","","","0"
"2001","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","10845600","","","","0"
"2002","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","7467700","","","","0"
"2003","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","12164200","","","","0"
"2004","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","12556700","","","","0"
"2005","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","11677600","","","","0"
"2006","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","9573100","","","","0"
"2007","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","10909800","","","","0"
"2008","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","11785800","","","","0"
"2009","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","9528200","","","","0"
"2010","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","7627200","","","","0"
"2011","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","7891500","","","","0"
"2012","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","8012300","","","","0"
"2013","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","10281600","","","","0"
"2014","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","7116800","","","","0"
"2015","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","8256600","","","","0"
"2016","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","8839400","","","","0"
"2017","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","7891300","","","","0"
"2018","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","8379700","","","","0"
"2019","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","10382600","","","","0"
"2020","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","10740600","","","","0"
"2021","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","6983941","","","","0"
"2022","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","9986681","","","","0"
"2023","Canada","2021A000011124","Production (metric tonnes)","Barley","Metric tonnes","214","units","0","v114995720","1.19.6","8905385","","r","","0"
